"","V1","V2"
"SS2_15_0073:A1_unique.bam",0.198873803019524,-0.722028136253357
"SS2_15_0073:A21_unique.bam",-3.65404462814331,-5.97842216491699
"SS2_15_0073:A23_unique.bam",-4.64977979660034,-4.98044681549072
"SS2_15_0073:B16_unique.bam",-0.848824381828308,-1.68213772773743
"SS2_15_0073:B18_unique.bam",-4.31875228881836,-5.4141206741333
"SS2_15_0073:C5_unique.bam",-2.87083625793457,-6.48761415481567
"SS2_15_0073:C14_unique.bam",0.773007273674011,-0.626292586326599
"SS2_15_0073:C21_unique.bam",0.218913078308105,-0.570595383644104
"SS2_15_0073:C24_unique.bam",-1.94623017311096,-5.22849416732788
"SS2_15_0073:D2_unique.bam",-2.18390774726868,-5.33692646026611
"SS2_15_0073:D3_unique.bam",-4.55347394943237,-5.05144023895264
"SS2_15_0073:D12_unique.bam",-1.73801732063293,-3.96614718437195
"SS2_15_0073:D9_unique.bam",2.33001899719238,-1.53839373588562
"SS2_15_0073:D16_unique.bam",-4.82271766662598,-4.81462907791138
"SS2_15_0073:E1_unique.bam",2.32237792015076,-1.45018076896667
"SS2_15_0073:D22_unique.bam",-4.33765602111816,-5.41885471343994
"SS2_15_0073:E17_unique.bam",-1.97040295600891,-5.13032150268555
"SS2_15_0073:E19_unique.bam",-2.81731200218201,-6.27546548843384
"SS2_15_0073:E24_unique.bam",-3.5514087677002,-4.83649969100952
"SS2_15_0073:F6_unique.bam",-2.62169981002808,-6.15503644943237
"SS2_15_0073:F11_unique.bam",-4.9506368637085,-4.70940160751343
"SS2_15_0073:F18_unique.bam",-4.87246084213257,-4.47292137145996
"SS2_15_0073:F14_unique.bam",4.8230152130127,-3.09558463096619
"SS2_15_0073:F21_unique.bam",-2.85527086257935,-6.20704555511475
"SS2_15_0073:G2_unique.bam",-3.62430596351624,-5.3374924659729
"SS2_15_0073:F24_unique.bam",-5.95744180679321,-3.68865442276001
"SS2_15_0073:G14_unique.bam",1.74293720722198,-1.23837435245514
"SS2_15_0073:G21_unique.bam",-4.55296564102173,-5.12033748626709
"SS2_15_0073:H3_unique.bam",1.70626020431519,-1.20057260990143
"SS2_15_0073:H10_unique.bam",-4.16697835922241,-4.58051490783691
